window_index,window_start_sec,window_end_sec,point_total,target_total,vital_total,dominant_cell_x_m,dominant_cell_y_m,dominant_cell_score,presence_ratio,parse_warning_frame_count,unknown_tlv_frame_count
0,0.0,5.0,2323,38,3,-0.25,0.75,1252.0,1.0,0,0
1,5.0,10.0,331,55,4,-0.25,1.25,324.0,1.0,0,0
2,10.0,15.0,210,51,3,-0.25,1.25,283.0,0.941176,2,1
3,15.0,20.0,100,54,3,-0.25,1.25,197.0,0.962963,2,0
4,20.0,25.0,171,53,3,0.25,1.25,198.0,0.981481,1,1
5,25.0,30.0,66,56,4,0.25,1.25,214.0,1.0,0,0
6,30.0,35.0,32,55,3,0.25,1.25,191.0,1.0,0,0
7,35.0,40.0,10,56,3,0.25,1.25,187.0,1.0,0,0
8,40.0,45.0,80,52,4,0.25,1.25,202.0,1.0,0,0
9,45.0,50.0,89,50,3,0.25,1.25,196.0,0.98,1,0
10,50.0,55.0,1422,17,2,-0.25,1.25,349.0,0.85,3,1
