timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488722.063,aop6m_test_02,vital_signs_AOP_6m.cfg,3,0,0,1020,compressed_spherical,-0.026983,0.539203,0.178910,0.568750,-0.050000,0.320000,6.948480,5.240000,,2275,-5,32,24816,131,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.063,aop6m_test_02,vital_signs_AOP_6m.cfg,3,0,1,1020,compressed_spherical,-0.025026,0.625316,-0.088191,0.632000,-0.040000,-0.140000,-8.875160,12.760000,,2528,-4,-14,-31697,319,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.063,aop6m_test_02,vital_signs_AOP_6m.cfg,3,0,2,1020,compressed_spherical,-0.006864,0.686335,-0.110766,0.695250,-0.010000,-0.160000,8.685600,14.120000,,2781,-1,-16,31020,353,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.063,aop6m_test_02,vital_signs_AOP_6m.cfg,3,0,3,1020,compressed_spherical,0.000000,0.730779,-0.202249,0.758250,0.000000,-0.270000,-1.737120,8.120000,,3033,0,-27,-6204,203,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.160,aop6m_test_02,vital_signs_AOP_6m.cfg,4,0,0,1020,compressed_spherical,-0.059483,0.592844,-0.210764,0.632000,-0.100000,-0.340000,2.210880,6.120000,,2528,-10,-34,7896,153,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.160,aop6m_test_02,vital_signs_AOP_6m.cfg,4,0,1,1020,compressed_spherical,-0.052380,0.653354,-0.231857,0.695250,-0.080000,-0.340000,-5.369280,9.240000,,2781,-8,-34,-19176,231,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.160,aop6m_test_02,vital_signs_AOP_6m.cfg,4,0,2,1020,compressed_spherical,-0.049998,0.713093,-0.252867,0.758250,-0.070000,-0.340000,-6.316800,9.640000,,3033,-7,-34,-22560,241,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.160,aop6m_test_02,vital_signs_AOP_6m.cfg,4,0,3,1020,compressed_spherical,-0.054169,0.772576,-0.273960,0.821500,-0.070000,-0.340000,6.000960,7.640000,,3286,-7,-34,21432,191,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.244,aop6m_test_02,vital_signs_AOP_6m.cfg,5,0,0,1020,compressed_spherical,-0.030971,0.773854,-0.273960,0.821500,-0.040000,-0.340000,-0.315840,6.120000,,3286,-4,-34,-1128,153,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488722.244,aop6m_test_02,vital_signs_AOP_6m.cfg,5,0,1,1020,compressed_spherical,-0.007148,0.714808,-0.252867,0.758250,-0.010000,-0.340000,6.790560,8.240000,,3033,-1,-34,24252,206,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
