timestamp,session_id,cfg,frame,sub_frame,target_index,target_id,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps,acc_x_mps2,acc_y_mps2,acc_z_mps2,ec0,ec1,ec2,ec3,ec4,ec5,ec6,ec7,ec8,ec9,ec10,ec11,ec12,ec13,ec14,ec15,g,confidence
1783488723.602,aop6m_test_02,vital_signs_AOP_6m.cfg,20,0,0,0,-0.117791,0.664958,-0.203823,0.684055,-3.861658,1.183673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.900000
1783488723.689,aop6m_test_02,vital_signs_AOP_6m.cfg,21,0,0,0,-0.057848,0.351407,-0.051710,0.665094,-3.477464,1.690687,-0.020940,0.143017,0.012079,1.007160,-0.001142,-0.003357,-0.005281,-0.001142,1.102614,-0.002000,-0.004128,-0.003357,-0.002000,1.098312,-0.004213,-0.005281,-0.004128,-0.004213,0.030677,3.000000,0.910000
1783488723.775,aop6m_test_02,vital_signs_AOP_6m.cfg,22,0,0,0,0.001926,0.039015,0.100501,0.663209,-3.464592,1.691774,-0.020940,0.143017,0.012079,1.015128,-0.001303,-0.008929,-0.006981,-0.001303,1.063899,-0.002745,-0.004361,-0.008929,-0.002745,1.040830,-0.009096,-0.006981,-0.004361,-0.009096,0.031682,3.000000,0.900900
1783488723.864,aop6m_test_02,vital_signs_AOP_6m.cfg,23,0,0,0,0.061530,-0.272219,0.252810,0.661325,-3.451721,1.692861,0.000000,0.000000,0.000000,1.015128,-0.001303,-0.008929,-0.006981,-0.001303,1.063899,-0.002745,-0.004361,-0.008929,-0.002745,1.040830,-0.009096,-0.006981,-0.004361,-0.009096,0.031682,3.000000,0.891891
1783488723.952,aop6m_test_02,vital_signs_AOP_6m.cfg,24,0,0,0,0.121049,-0.582874,0.405167,0.661325,-3.451721,1.692861,0.000000,0.000000,0.000000,1.015128,-0.001303,-0.008929,-0.006981,-0.001303,1.063899,-0.002745,-0.004361,-0.008929,-0.002745,1.040830,-0.009096,-0.006981,-0.004361,-0.009096,0.031682,3.000000,0.882972
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,0,0,-0.069619,0.646559,0.001659,-0.118338,1.099024,0.002820,0.000000,0.000000,0.000000,1.015128,-0.001303,-0.008929,-0.006981,-0.001303,1.063899,-0.002745,-0.004361,-0.008929,-0.002745,1.040830,-0.009096,-0.006981,-0.004361,-0.009096,0.031682,3.000000,0.900000
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,0,0,-0.103116,0.687750,0.049173,-0.371641,0.440444,0.530023,0.012217,-0.382943,0.046352,1.001918,-0.007540,-0.017867,-0.006936,-0.007540,1.012009,-0.019295,-0.008789,-0.017867,-0.019295,0.974832,-0.016759,-0.006936,-0.008789,-0.016759,0.131429,3.000000,0.910000
1783488724.329,aop6m_test_02,vital_signs_AOP_6m.cfg,28,0,0,0,-0.118786,0.728676,-0.040135,-0.270169,0.421490,-0.241821,0.033158,-0.385747,-0.107065,0.999432,-0.022228,-0.005121,-0.014528,-0.022228,0.997874,-0.008451,-0.014628,-0.005121,-0.008451,1.011816,-0.007283,-0.014528,-0.014628,-0.007283,0.141179,3.000000,0.919000
1783488724.421,aop6m_test_02,vital_signs_AOP_6m.cfg,29,0,0,0,-0.172709,0.732611,-0.067231,-0.376149,0.218083,-0.267318,0.042011,-0.745695,-0.090138,1.019112,-0.006092,-0.031660,-0.006201,-0.006092,1.010313,-0.026081,-0.000997,-0.031660,-0.026081,0.881504,-0.022775,-0.006201,-0.000997,-0.022775,0.152877,3.000000,0.927100
1783488724.495,aop6m_test_02,vital_signs_AOP_6m.cfg,30,0,0,0,-0.141976,0.766142,-0.135634,-0.167652,0.226484,-0.421499,0.185313,-0.587168,-0.223030,0.976415,-0.016145,-0.044004,-0.014077,-0.016145,1.021813,-0.017888,-0.003193,-0.044004,-0.017888,0.942989,-0.015491,-0.014077,-0.003193,-0.015491,0.050717,3.000000,0.934390
