timestamp,session_id,cfg,frame,sub_frame,vital_index,target_id,range_bin,breath_deviation,heart_rate,breath_rate,heart_waveform,breath_waveform
1783488723.278,aop6m_test_02,vital_signs_AOP_6m.cfg,16,0,0,0,15,0.001290,77.009,0.000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.016220;-0.104433;0.220269;0.176890;-0.285939,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.044119;-0.126901;-0.142968;-0.134638;-0.108279
1783488724.712,aop6m_test_02,vital_signs_AOP_6m.cfg,32,0,0,0,15,0.002234,50.223,0.000,0.000000;0.000000;0.000000;0.000000;0.000000;-0.010581;-0.093383;0.059194;0.420020;-0.089314;-0.735151;-0.030829;0.547098;0.267694;-0.107895,0.000000;0.000000;0.000000;0.000000;0.000000;-0.029117;-0.139335;-0.206012;-0.140742;-0.092597;-0.026302;0.004047;0.016341;0.068711;0.077805
1783488726.175,aop6m_test_02,vital_signs_AOP_6m.cfg,48,0,0,0,13,0.007680,50.223,0.000,-0.009329;-0.086259;0.045236;0.403497;-0.068641;-0.711812;-0.039279;0.525535;0.270423;-0.099477;-0.308676;-0.256307;0.385624;0.506652;-0.263383,-0.025794;-0.129750;-0.195169;-0.130541;-0.085450;-0.021487;0.004177;0.010838;0.062185;0.069161;-0.032109;-0.218899;-0.338742;-0.315742;-0.116717
1783488727.644,aop6m_test_02,vital_signs_AOP_6m.cfg,64,0,0,0,18,0.034692,53.571,10.045,-0.713006;-0.038606;0.525108;0.270316;-0.098235;-0.308991;-0.256828;0.384731;-0.000000;0.000000;-0.000000;-0.000000;-22859694302600453613583586595700736.000000;0.000000;-0.000000,-0.000000;0.000000;0.000000;0.000000;-10884676808257290843033836086148202496.000000;128.000000;8.002541;0.000000;0.000000;0.000000;0.000000;-2658455991569831745807614120560689152.000000;0.000000;0.000000;0.000000
1783488729.035,aop6m_test_02,vital_signs_AOP_6m.cfg,80,0,0,0,18,0.028821,50.223,10.045,-0.270021;-0.067441;0.038274;0.001136;0.237501;0.124347;-0.497773;-0.453718;0.303109;0.632315;0.694698;-0.290339;-0.997338;-0.461272;-0.009473,0.059305;0.047370;-0.020054;-0.032432;0.076867;0.314673;0.483149;0.553209;0.369783;0.133780;-0.039392;-0.222000;-0.238845;-0.392335;-0.540017
1783488730.476,aop6m_test_02,vital_signs_AOP_6m.cfg,96,0,0,0,18,0.044949,50.223,15.067,-0.618015;-0.334677;0.070966;0.472875;0.618586;0.656938;-0.449096;-1.176497;-0.391023;0.187725;0.283375;0.885742;0.669596;-1.009849;-0.957277,0.228502;0.503213;0.661157;0.539055;0.336285;0.173081;-0.017547;-0.057096;-0.080069;-0.124199;-0.163095;0.011265;0.262679;0.413955;0.596113
1783488731.926,aop6m_test_02,vital_signs_AOP_6m.cfg,112,0,0,0,18,0.068172,50.223,11.719,0.664382;-0.443529;-1.182735;-0.398812;0.197055;0.294213;0.866097;0.656261;-0.990969;-0.940719;0.487512;0.305281;0.149078;0.313549;-0.503260,0.174107;-0.016491;-0.057915;-0.084886;-0.126595;-0.162878;0.012817;0.264175;0.415433;0.597545;0.592143;0.471024;0.441438;0.286318;0.147966
1783488733.351,aop6m_test_02,vital_signs_AOP_6m.cfg,128,0,0,0,18,0.064493,50.223,8.370,0.351445;0.914807;0.679844;-0.978486;-0.952044;0.452887;0.274896;0.140259;0.326729;-0.479974;-0.266206;0.228726;0.268320;-0.036836;-0.427564,-0.197722;-0.010832;0.247968;0.404530;0.590742;0.589485;0.471777;0.445308;0.293059;0.158720;0.003357;-0.129907;-0.126604;-0.130063;-0.130080
1783488734.796,aop6m_test_02,vital_signs_AOP_6m.cfg,144,0,0,0,18,0.071715,50.223,8.370,0.444613;0.265072;0.140522;0.325399;-0.477502;-0.261814;0.224300;0.267388;-0.029835;-0.428357;-0.019877;0.334417;0.265157;-0.003176;-0.549920,0.590404;0.472441;0.445348;0.292117;0.158800;0.003607;-0.129797;-0.126331;-0.129864;-0.130262;-0.159415;-0.255313;-0.228150;-0.329466;-0.397119
1783488736.244,aop6m_test_02,vital_signs_AOP_6m.cfg,160,0,0,0,18,0.082899,50.223,18.415,-0.257876;0.218951;0.266232;-0.019932;-0.430024;-0.027959;0.337091;0.267715;-0.001997;-0.552630;0.065161;0.399953;-0.325194;-0.272384;0.430521,0.004672;-0.128970;-0.125345;-0.128493;-0.130098;-0.159413;-0.256404;-0.230343;-0.327220;-0.396312;-0.371054;-0.315613;-0.251135;-0.159918;-0.045013
1783488739.117,aop6m_test_02,vital_signs_AOP_6m.cfg,192,0,0,0,18,0.099995,63.616,20.089,-0.273823;0.781450;0.029171;-0.361880;0.283574;0.162234;-0.500711;-0.128315;0.602781;0.137413;-0.696304;0.005741;0.577682;-0.110063;-0.318686,-0.527890;-0.357271;-0.196133;-0.032901;0.127120;0.241572;0.196280;0.097112;0.049725;-0.064078;-0.250088;-0.341358;-0.430537;-0.434199;-0.382466
1783488740.561,aop6m_test_02,vital_signs_AOP_6m.cfg,208,0,0,0,18,0.126759,58.593,8.370,0.177386;-0.480175;-0.134136;0.597836;0.135880;-0.711361;0.009753;0.599557;-0.109072;-0.326023;0.039138;0.062943;0.126360;-0.091263;-0.337284,0.196111;0.150924;0.052207;0.008891;-0.102212;-0.287586;-0.376673;-0.465593;-0.466784;-0.410951;-0.322660;-0.174934;0.059998;0.172252;0.182170
1783488741.998,aop6m_test_02,vital_signs_AOP_6m.cfg,224,0,0,0,18,0.114877,56.919,8.370,-0.712540;0.010402;0.600672;-0.109035;-0.326422;0.038592;0.062592;0.126598;-0.090383;-0.337464;0.263852;0.529634;-0.176131;-0.218847;-0.018284,-0.287450;-0.376548;-0.465633;-0.466810;-0.410972;-0.322660;-0.175058;0.059944;0.172289;0.182153;0.139673;0.011290;-0.112581;-0.124160;-0.062954
1783488743.435,aop6m_test_02,vital_signs_AOP_6m.cfg,240,0,0,0,18,0.079148,50.223,8.370,0.173100;0.896486;0.284195;-0.598909;-0.640827;0.245055;0.554108;-0.053984;-0.030010;0.056566;-0.401535;-0.484600;0.311040;0.949677;0.224302,-0.097811;-0.053635;0.073565;0.091773;0.031101;-0.053848;-0.198811;-0.318876;-0.313447;-0.226810;-0.098943;-0.124622;-0.143096;-0.086612;0.025727
1783488744.880,aop6m_test_02,vital_signs_AOP_6m.cfg,256,0,0,0,18,0.096394,50.223,8.370,0.236938;0.551594;-0.053697;-0.028594;0.064186;-0.391422;-0.486322;0.299815;0.950713;0.224488;-0.774096;-0.613748;0.006440;0.347273;0.560041,-0.038987;-0.179971;-0.296768;-0.289626;-0.201879;-0.073007;-0.099615;-0.118413;-0.061828;0.050815;0.211816;0.299232;0.276410;0.123730;0.034796
1783488746.319,aop6m_test_02,vital_signs_AOP_6m.cfg,272,0,0,0,18,0.064405,53.571,8.370,-0.360235;-0.490579;0.270934;0.936279;0.214947;-0.783652;-0.605705;0.027901;0.359083;0.557287;0.450736;-0.527928;-0.751637;0.148493;0.179556,-0.095937;-0.127498;-0.149769;-0.095899;0.015119;0.174697;0.260821;0.237279;0.082878;-0.006266;-0.066883;-0.131291;-0.085818;0.006407;0.063987
1783488747.765,aop6m_test_02,vital_signs_AOP_6m.cfg,288,0,0,0,18,0.018403,63.616,8.370,-0.805668;-0.614829;0.048299;0.370485;0.545660;0.444934;-0.526869;-0.750261;0.154887;0.172570;-0.197721;0.422244;0.518318;-0.309133;-0.382992,0.172779;0.260108;0.237963;0.084285;-0.003892;-0.064501;-0.130432;-0.083213;0.010355;0.068010;0.074119;0.098886;0.079183;0.051877;0.051351
1783488749.204,aop6m_test_02,vital_signs_AOP_6m.cfg,304,0,0,0,18,0.023174,60.268,8.370,0.446310;-0.529695;-0.748335;0.156044;0.167447;-0.200698;0.427963;0.523929;-0.311301;-0.387219;-0.005357;-0.025006;-0.036182;-0.062373;0.055738,-0.065703;-0.132083;-0.084437;0.010152;0.068460;0.074509;0.099393;0.079698;0.052587;0.052012;0.068321;0.165878;0.288160;0.342468;0.338493
1783488750.631,aop6m_test_02,vital_signs_AOP_6m.cfg,320,0,0,0,18,0.027393,51.897,8.370,-0.200903;0.428555;0.525354;-0.310825;-0.388714;-0.006422;-0.024476;-0.033508;-0.065247;0.051868;0.394552;0.236312;-0.252276;-0.297489;-0.102821,0.074319;0.099316;0.079834;0.052954;0.052424;0.068704;0.166349;0.289661;0.343350;0.338637;0.308860;0.225663;0.139970;0.041481;-0.036090
1783488752.077,aop6m_test_02,vital_signs_AOP_6m.cfg,336,0,0,0,18,0.037806,63.616,13.393,-0.010853;-0.027300;-0.039469;-0.043651;0.080832;0.371924;0.204215;-0.236869;-0.271719;-0.118579;-0.012031;0.052993;0.174493;0.169546;0.042528,0.045479;0.141980;0.258746;0.313786;0.311774;0.284129;0.199776;0.116488;0.019952;-0.056355;-0.134635;-0.196079;-0.239506;-0.242379;-0.147290
1783488753.525,aop6m_test_02,vital_signs_AOP_6m.cfg,352,0,0,0,18,0.024072,51.897,13.393,0.340230;0.187528;-0.211026;-0.253300;-0.122465;-0.015331;0.048924;0.167825;0.163265;0.042338;-0.131734;-0.368332;0.042366;0.389321;-0.076714,0.286979;0.203639;0.120296;0.021463;-0.057008;-0.139557;-0.202695;-0.246590;-0.248941;-0.152190;-0.078324;-0.028627;0.044874;0.097632;0.030797
1783488754.952,aop6m_test_02,vital_signs_AOP_6m.cfg,368,0,0,0,18,0.089405,58.593,13.393,0.137601;-0.550282;-0.323928;0.145436;0.104583;0.067114;-0.131658;0.085449;0.408630;-0.060203;-0.466318;0.108161;0.181453;-0.364760;-0.147710,0.067245;-0.143811;-0.280936;-0.354279;-0.286692;-0.197580;-0.140746;-0.067407;0.010741;-0.021069;-0.050969;-0.057834;-0.085758;-0.198697;-0.355881
